164; Luxembourg;613894;0,000079
–; Western Sahara;582463;0,0000749
165; Suriname;581372;0,0000748
166; Cape Verde;550483;0,0000708
167; Malta;493559;0,0000635
–; Transnistria;469;0,0000603
168; Brunei;4424;0,0000569
169; Belize;408487;0,0000526
170; Bahamas;38534;0,0000496
171; Maldives;374775;0,0000482
172; Iceland;36426;0,0000469
—; Northern Cyprus;351965;0,0000453
173; Vanuatu;3045;0,0000392
174; Barbados;287025;0,0000369
–; New Caledonia (France);2822;0,0000363
–; French Polynesia (France);275918;0,0000355
–; Abkhazia;244832;0,0000315
175; São Tomé and Príncipe;201784;0,000026
176; Samoa;200874;0,0000258
177; Saint Lucia;178696;0,000023
–; Guam (US);1724;0,0000222
–; Curaçao (Netherlands);158665;0,0000204
–;Flag of Artsakh.svg Artsakh;148;0,000019
178; Kiribati;1201;0,0000155
–; Aruba (Netherlands);112309;0,0000145
179; Grenada;112003;0,0000144
180; Saint Vincent and the Grenadines;110608;0,0000142
–; Jersey (UK);1068;0,0000137
–; U.S. Virgin Islands (US);104578;0,0000135
181; F.S. Micronesia;104468;0,0000134
182; Tonga;100651;0,000013
183; Seychelles;97625;0,0000126
184; Antigua and Barbuda;96453;0,0000124
–; Isle of Man (UK);83314;0,0000107
185; Andorra;77543;0,00000998
186; Dominica;71808;0,00000924
–; Cayman Islands (UK);65813;0,00000847
–; Bermuda (UK);64027;0,00000824
–; Guernsey (UK);62792;0,00000808
–; American Samoa (US);567;0,0000073
–; Greenland (Denmark);56081;0,00000722
–; Northern Mariana Islands (US);562;0,00000723
187; Marshall Islands;555;0,00000714
–; South Ossetia;53532;0,00000689
188; Saint Kitts and Nevis;52823;0,0000068
–; Faroe Islands (Denmark);52124;0,00000671
–; Turks and Caicos Islands (UK);41369;0,00000532
–; Sint Maarten (Netherlands);40614;0,00000523
189; Liechtenstein;38557;0,00000496
190; Monaco;383;0,00000493
–; Saint Martin (France);35746;0,0000046
–; Gibraltar (UK);33701;0,00000434
191; San Marino;33574;0,00000432
–; British Virgin Islands (UK);3003;0,00000386
–; Åland Islands (Finland);29885;0,00000385
192; Palau;179;0,0000023
–; Cook Islands (NZ);152;0,00000196
–; Anguilla (UK);14869;0,00000191
–; Wallis and Futuna (France);117;0,00000151
193; Nauru;11;0,00000142
194; Tuvalu;102;0,00000131
–; Saint Barthélemy (France);9793;0,00000126
–; Saint Pierre and Miquelon (France);6008;0,000000773
–; Saint Helena, Ascension;5633;0,000000725
;and Tristan da Cunha (UK);;0
–; Montserrat (UK);4989;0,000000642
–; Falkland Islands (UK);3198;0,000000412
–; Christmas Island (Australia);1928;0,000000248
–; Norfolk Island (Australia);1756;0,000000226
–; Niue (NZ);152;0,000000196
–; Tokelau (NZ);14;0,00000018
195; Vatican City;799;0,000000103
–; Cocos (Keeling) Islands (Australia);538;6,92E-08
–; Pitcairn Islands (UK);50;6,43E-09
